code,coursename,num_of_enrollees,semester,year
BSAg,Bachelor of Science in Agriculture,114,1st,2015
BAC,Bachelor Of Arts In Communication,75,1st,2015
POLSCI,Bachelor Of Arts In Political Science,196,1st,2015
BSSW,Bachelor Of Science In Social Work,156,1st,2015
BSA,Bachelor Of Science In Accountancy,141,1st,2015
BSAIS,Bachelor Of Science In Accounting Information System,191,1st,2015
Entrep,Bs In Entrepreneurship,154,1st,2015
BSBA,Bachelor Of Science In Business Administration,214,1st,2015
BSCS,Bachelor Of Science In Computer Science,210,1st,2015
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,130,1st,2015
BSIT,Bachelor Of Science In Information Technology,104,1st,2015
CRIM,Bachelor Of Science In Criminology,308,1st,2015
BEEd,Bachelor Of Elementary Education,202,1st,2015
BSEd,Bachelor Of Secondary Education,190,1st,2015
BSCE,Bachelor Of Science In Civil Engineering,75,1st,2015
BSCpE,Bachelor Of Science In Computer Engineering,159,1st,2015
BSEE,Bachelor Of Science In Electrical Engineering,163,1st,2015
BSHM,Bachelor Of Science In Hospitality Management,119,1st,2015
BSTM,Bachelor Of Science In Tourism Management,99,1st,2015
BSBIO,Bachelor Of Science In Biology,194,1st,2015
BIT,Bachelor In Industrial Technology,69,1st,2015
BSF,Bachelor Of Science In Fisheries,132,1st,2015
BSM,Bachelor Of Science In Midwifery,68,1st,2015
BSN,Bachelor Of Science In Nursing,225,1st,2015
BSAg,Bachelor of Science in Agriculture,110,2nd,2015
BAC,Bachelor Of Arts In Communication,170,2nd,2015
POLSCI,Bachelor Of Arts In Political Science,176,2nd,2015
BSSW,Bachelor Of Science In Social Work,192,2nd,2015
BSA,Bachelor Of Science In Accountancy,229,2nd,2015
BSAIS,Bachelor Of Science In Accounting Information System,85,2nd,2015
Entrep,Bs In Entrepreneurship,170,2nd,2015
BSBA,Bachelor Of Science In Business Administration,87,2nd,2015
BSCS,Bachelor Of Science In Computer Science,152,2nd,2015
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,113,2nd,2015
BSIT,Bachelor Of Science In Information Technology,67,2nd,2015
CRIM,Bachelor Of Science In Criminology,285,2nd,2015
BEEd,Bachelor Of Elementary Education,184,2nd,2015
BSEd,Bachelor Of Secondary Education,205,2nd,2015
BSCE,Bachelor Of Science In Civil Engineering,187,2nd,2015
BSCpE,Bachelor Of Science In Computer Engineering,125,2nd,2015
BSEE,Bachelor Of Science In Electrical Engineering,108,2nd,2015
BSHM,Bachelor Of Science In Hospitality Management,187,2nd,2015
BSTM,Bachelor Of Science In Tourism Management,153,2nd,2015
BSBIO,Bachelor Of Science In Biology,206,2nd,2015
BIT,Bachelor In Industrial Technology,147,2nd,2015
BSF,Bachelor Of Science In Fisheries,72,2nd,2015
BSM,Bachelor Of Science In Midwifery,195,2nd,2015
BSN,Bachelor Of Science In Nursing,68,2nd,2015
BSAg,Bachelor of Science in Agriculture,112,Summer,2015
BAC,Bachelor Of Arts In Communication,124,Summer,2015
POLSCI,Bachelor Of Arts In Political Science,53,Summer,2015
BSSW,Bachelor Of Science In Social Work,138,Summer,2015
BSA,Bachelor Of Science In Accountancy,144,Summer,2015
BSAIS,Bachelor Of Science In Accounting Information System,82,Summer,2015
Entrep,Bs In Entrepreneurship,133,Summer,2015
BSBA,Bachelor Of Science In Business Administration,72,Summer,2015
BSCS,Bachelor Of Science In Computer Science,107,Summer,2015
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,116,Summer,2015
BSIT,Bachelor Of Science In Information Technology,67,Summer,2015
CRIM,Bachelor Of Science In Criminology,211,Summer,2015
BEEd,Bachelor Of Elementary Education,48,Summer,2015
BSEd,Bachelor Of Secondary Education,133,Summer,2015
BSCE,Bachelor Of Science In Civil Engineering,102,Summer,2015
BSCpE,Bachelor Of Science In Computer Engineering,70,Summer,2015
BSEE,Bachelor Of Science In Electrical Engineering,77,Summer,2015
BSHM,Bachelor Of Science In Hospitality Management,76,Summer,2015
BSTM,Bachelor Of Science In Tourism Management,51,Summer,2015
BSBIO,Bachelor Of Science In Biology,153,Summer,2015
BIT,Bachelor In Industrial Technology,123,Summer,2015
BSF,Bachelor Of Science In Fisheries,147,Summer,2015
BSM,Bachelor Of Science In Midwifery,103,Summer,2015
BSN,Bachelor Of Science In Nursing,157,Summer,2015
