code,coursename,num_of_enrollees,semester,year
BSAg,Bachelor of Science in Agriculture,450,1st,2007
BAC,Bachelor Of Arts In Communication,141,1st,2007
POLSCI,Bachelor Of Arts In Political Science,96,1st,2007
BSSW,Bachelor Of Science In Social Work,74,1st,2007
BSA,Bachelor Of Science In Accountancy,112,1st,2007
BSAIS,Bachelor Of Science In Accounting Information System,87,1st,2007
Entrep,Bs In Entrepreneurship,172,1st,2007
BSBA,Bachelor Of Science In Business Administration,473,1st,2007
BSCS,Bachelor Of Science In Computer Science,492,1st,2007
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,220,1st,2007
BSIT,Bachelor Of Science In Information Technology,362,1st,2007
CRIM,Bachelor Of Science In Criminology,252,1st,2007
BEEd,Bachelor Of Elementary Education,270,1st,2007
BSEd,Bachelor Of Secondary Education,81,1st,2007
BSCE,Bachelor Of Science In Civil Engineering,266,1st,2007
BSCpE,Bachelor Of Science In Computer Engineering,112,1st,2007
BSEE,Bachelor Of Science In Electrical Engineering,403,1st,2007
BSHM,Bachelor Of Science In Hospitality Management,374,1st,2007
BSTM,Bachelor Of Science In Tourism Management,148,1st,2007
BSBIO,Bachelor Of Science In Biology,500,1st,2007
BIT,Bachelor In Industrial Technology,172,1st,2007
BSF,Bachelor Of Science In Fisheries,454,1st,2007
BSM,Bachelor Of Science In Midwifery,308,1st,2007
BSN,Bachelor Of Science In Nursing,346,1st,2007
BSAg,Bachelor of Science in Agriculture,252,2nd,2007
BAC,Bachelor Of Arts In Communication,481,2nd,2007
POLSCI,Bachelor Of Arts In Political Science,109,2nd,2007
BSSW,Bachelor Of Science In Social Work,430,2nd,2007
BSA,Bachelor Of Science In Accountancy,363,2nd,2007
BSAIS,Bachelor Of Science In Accounting Information System,177,2nd,2007
Entrep,Bs In Entrepreneurship,478,2nd,2007
BSBA,Bachelor Of Science In Business Administration,393,2nd,2007
BSCS,Bachelor Of Science In Computer Science,451,2nd,2007
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,55,2nd,2007
BSIT,Bachelor Of Science In Information Technology,343,2nd,2007
CRIM,Bachelor Of Science In Criminology,105,2nd,2007
BEEd,Bachelor Of Elementary Education,367,2nd,2007
BSEd,Bachelor Of Secondary Education,404,2nd,2007
BSCE,Bachelor Of Science In Civil Engineering,345,2nd,2007
BSCpE,Bachelor Of Science In Computer Engineering,390,2nd,2007
BSEE,Bachelor Of Science In Electrical Engineering,301,2nd,2007
BSHM,Bachelor Of Science In Hospitality Management,473,2nd,2007
BSTM,Bachelor Of Science In Tourism Management,203,2nd,2007
BSBIO,Bachelor Of Science In Biology,228,2nd,2007
BIT,Bachelor In Industrial Technology,423,2nd,2007
BSF,Bachelor Of Science In Fisheries,214,2nd,2007
BSM,Bachelor Of Science In Midwifery,389,2nd,2007
BSN,Bachelor Of Science In Nursing,254,2nd,2007
BSAg,Bachelor of Science in Agriculture,68,Summer,2007
BAC,Bachelor Of Arts In Communication,368,Summer,2007
POLSCI,Bachelor Of Arts In Political Science,98,Summer,2007
BSSW,Bachelor Of Science In Social Work,74,Summer,2007
BSA,Bachelor Of Science In Accountancy,196,Summer,2007
BSAIS,Bachelor Of Science In Accounting Information System,86,Summer,2007
Entrep,Bs In Entrepreneurship,160,Summer,2007
BSBA,Bachelor Of Science In Business Administration,475,Summer,2007
BSCS,Bachelor Of Science In Computer Science,330,Summer,2007
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,442,Summer,2007
BSIT,Bachelor Of Science In Information Technology,444,Summer,2007
CRIM,Bachelor Of Science In Criminology,329,Summer,2007
BEEd,Bachelor Of Elementary Education,176,Summer,2007
BSEd,Bachelor Of Secondary Education,189,Summer,2007
BSCE,Bachelor Of Science In Civil Engineering,286,Summer,2007
BSCpE,Bachelor Of Science In Computer Engineering,490,Summer,2007
BSEE,Bachelor Of Science In Electrical Engineering,464,Summer,2007
BSHM,Bachelor Of Science In Hospitality Management,340,Summer,2007
BSTM,Bachelor Of Science In Tourism Management,181,Summer,2007
BSBIO,Bachelor Of Science In Biology,136,Summer,2007
BIT,Bachelor In Industrial Technology,392,Summer,2007
BSF,Bachelor Of Science In Fisheries,413,Summer,2007
BSM,Bachelor Of Science In Midwifery,180,Summer,2007
BSN,Bachelor Of Science In Nursing,172,Summer,2007
BSAg,Bachelor of Science in Agriculture,452,1st,2008
BAC,Bachelor Of Arts In Communication,377,1st,2008
POLSCI,Bachelor Of Arts In Political Science,143,1st,2008
BSSW,Bachelor Of Science In Social Work,191,1st,2008
BSA,Bachelor Of Science In Accountancy,180,1st,2008
BSAIS,Bachelor Of Science In Accounting Information System,147,1st,2008
Entrep,Bs In Entrepreneurship,189,1st,2008
BSBA,Bachelor Of Science In Business Administration,51,1st,2008
BSCS,Bachelor Of Science In Computer Science,101,1st,2008
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,65,1st,2008
BSIT,Bachelor Of Science In Information Technology,101,1st,2008
CRIM,Bachelor Of Science In Criminology,374,1st,2008
BEEd,Bachelor Of Elementary Education,192,1st,2008
BSEd,Bachelor Of Secondary Education,120,1st,2008
BSCE,Bachelor Of Science In Civil Engineering,168,1st,2008
BSCpE,Bachelor Of Science In Computer Engineering,348,1st,2008
BSEE,Bachelor Of Science In Electrical Engineering,257,1st,2008
BSHM,Bachelor Of Science In Hospitality Management,229,1st,2008
BSTM,Bachelor Of Science In Tourism Management,187,1st,2008
BSBIO,Bachelor Of Science In Biology,344,1st,2008
BIT,Bachelor In Industrial Technology,318,1st,2008
BSF,Bachelor Of Science In Fisheries,358,1st,2008
BSM,Bachelor Of Science In Midwifery,427,1st,2008
BSN,Bachelor Of Science In Nursing,270,1st,2008
BSAg,Bachelor of Science in Agriculture,327,2nd,2008
BAC,Bachelor Of Arts In Communication,141,2nd,2008
POLSCI,Bachelor Of Arts In Political Science,346,2nd,2008
BSSW,Bachelor Of Science In Social Work,459,2nd,2008
BSA,Bachelor Of Science In Accountancy,97,2nd,2008
BSAIS,Bachelor Of Science In Accounting Information System,161,2nd,2008
Entrep,Bs In Entrepreneurship,478,2nd,2008
BSBA,Bachelor Of Science In Business Administration,384,2nd,2008
BSCS,Bachelor Of Science In Computer Science,322,2nd,2008
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,88,2nd,2008
BSIT,Bachelor Of Science In Information Technology,267,2nd,2008
CRIM,Bachelor Of Science In Criminology,54,2nd,2008
BEEd,Bachelor Of Elementary Education,320,2nd,2008
BSEd,Bachelor Of Secondary Education,412,2nd,2008
BSCE,Bachelor Of Science In Civil Engineering,458,2nd,2008
BSCpE,Bachelor Of Science In Computer Engineering,494,2nd,2008
BSEE,Bachelor Of Science In Electrical Engineering,102,2nd,2008
BSHM,Bachelor Of Science In Hospitality Management,319,2nd,2008
BSTM,Bachelor Of Science In Tourism Management,385,2nd,2008
BSBIO,Bachelor Of Science In Biology,221,2nd,2008
BIT,Bachelor In Industrial Technology,178,2nd,2008
BSF,Bachelor Of Science In Fisheries,187,2nd,2008
BSM,Bachelor Of Science In Midwifery,90,2nd,2008
BSN,Bachelor Of Science In Nursing,51,2nd,2008
BSAg,Bachelor of Science in Agriculture,267,Summer,2008
BAC,Bachelor Of Arts In Communication,193,Summer,2008
POLSCI,Bachelor Of Arts In Political Science,492,Summer,2008
BSSW,Bachelor Of Science In Social Work,250,Summer,2008
BSA,Bachelor Of Science In Accountancy,449,Summer,2008
BSAIS,Bachelor Of Science In Accounting Information System,429,Summer,2008
Entrep,Bs In Entrepreneurship,284,Summer,2008
BSBA,Bachelor Of Science In Business Administration,300,Summer,2008
BSCS,Bachelor Of Science In Computer Science,375,Summer,2008
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,224,Summer,2008
BSIT,Bachelor Of Science In Information Technology,151,Summer,2008
CRIM,Bachelor Of Science In Criminology,56,Summer,2008
BEEd,Bachelor Of Elementary Education,374,Summer,2008
BSEd,Bachelor Of Secondary Education,235,Summer,2008
BSCE,Bachelor Of Science In Civil Engineering,369,Summer,2008
BSCpE,Bachelor Of Science In Computer Engineering,111,Summer,2008
BSEE,Bachelor Of Science In Electrical Engineering,256,Summer,2008
BSHM,Bachelor Of Science In Hospitality Management,340,Summer,2008
BSTM,Bachelor Of Science In Tourism Management,390,Summer,2008
BSBIO,Bachelor Of Science In Biology,308,Summer,2008
BIT,Bachelor In Industrial Technology,408,Summer,2008
BSF,Bachelor Of Science In Fisheries,122,Summer,2008
BSM,Bachelor Of Science In Midwifery,113,Summer,2008
BSN,Bachelor Of Science In Nursing,61,Summer,2008
BSAg,Bachelor of Science in Agriculture,432,1st,2009
BAC,Bachelor Of Arts In Communication,200,1st,2009
POLSCI,Bachelor Of Arts In Political Science,146,1st,2009
BSSW,Bachelor Of Science In Social Work,284,1st,2009
BSA,Bachelor Of Science In Accountancy,375,1st,2009
BSAIS,Bachelor Of Science In Accounting Information System,457,1st,2009
Entrep,Bs In Entrepreneurship,280,1st,2009
BSBA,Bachelor Of Science In Business Administration,407,1st,2009
BSCS,Bachelor Of Science In Computer Science,283,1st,2009
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,241,1st,2009
BSIT,Bachelor Of Science In Information Technology,270,1st,2009
CRIM,Bachelor Of Science In Criminology,408,1st,2009
BEEd,Bachelor Of Elementary Education,399,1st,2009
BSEd,Bachelor Of Secondary Education,410,1st,2009
BSCE,Bachelor Of Science In Civil Engineering,367,1st,2009
BSCpE,Bachelor Of Science In Computer Engineering,303,1st,2009
BSEE,Bachelor Of Science In Electrical Engineering,414,1st,2009
BSHM,Bachelor Of Science In Hospitality Management,312,1st,2009
BSTM,Bachelor Of Science In Tourism Management,257,1st,2009
BSBIO,Bachelor Of Science In Biology,368,1st,2009
BIT,Bachelor In Industrial Technology,318,1st,2009
BSF,Bachelor Of Science In Fisheries,240,1st,2009
BSM,Bachelor Of Science In Midwifery,482,1st,2009
